UMAP1,UMAP2,temp
13.813862,6.3820286,374.5
14.459092,7.075546,375.0
14.593186,6.1301246,375.5
14.48071,6.816814,376.0
14.507264,6.7087297,376.5
14.653785,7.066132,377.0
14.511391,6.6139264,377.5
14.294571,6.5235686,378.0
14.351453,7.283148,378.5
14.320881,6.295793,379.0
14.337208,6.0802913,379.5
14.494099,5.6412315,380.0
14.498229,5.6225743,380.5
14.369399,5.6207957,381.0
14.509152,5.5563216,381.5
14.475565,5.862935,382.0
14.532223,5.6446533,382.5
14.388267,5.605529,383.0
14.609512,5.7446923,383.5
14.54713,5.698235,384.0
14.443368,5.5801363,384.5
14.552492,5.6676826,385.0
14.488715,5.551266,385.5
14.578295,5.777782,386.0
14.460285,5.564305,386.5
14.400438,5.5470123,387.0
14.495641,5.58423,387.5
14.235203,5.569636,388.0
14.664068,5.570263,388.5
14.426532,5.4744573,389.0
14.3012705,5.521979,389.5
15.09093,7.4921436,390.0
-0.45407218,1.2140272,390.5
-0.44856083,1.2242768,391.0
-0.55491173,1.2519858,391.5
-0.5416417,1.258303,392.0
-0.6194965,1.0589776,392.5
-0.3817788,1.0841243,393.0
-0.55958384,1.1899074,393.5
-0.40573832,1.2906685,394.0
-0.29730105,1.3434438,394.5
-0.5500113,1.2300694,395.0
-0.5391937,1.3290583,395.5
-0.5480078,1.2043223,396.0
-0.52341044,1.207521,396.5
-0.6029512,1.5167594,397.0
-0.6255528,1.3787572,397.5
-0.60000813,1.3054098,398.0
-0.6608236,1.2078327,398.5
-0.49359158,1.4579183,399.0
-0.5896321,1.4090103,399.5
-0.31518102,1.5535169,400.0
-0.3468608,1.4245889,400.5
-0.34022152,1.6176276,401.0
-0.20697956,1.5927486,401.5
-0.24096124,1.5846282,402.0
-0.38181582,1.689293,402.5
-0.26986322,1.668324,403.0
-0.32451445,1.761074,403.5
-0.3235635,1.5415423,404.0
-0.24873854,1.57112,404.5
-0.33786643,1.5853612,405.0
-0.2419862,1.7233882,405.5
-0.22515184,1.6579791,406.0
-0.2700893,1.8285857,406.5
-0.30639747,1.7327745,407.0
-0.3822262,1.8750349,407.5
