temp,UMAP1,UMAP2,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Grid_X,Grid_Y,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10
248.5,-11.562573,-7.698343,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
249.0,-10.920817,-7.322324,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
249.5,-10.957061,-7.23874,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
250.0,-11.4896555,-7.137471,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
250.5,-10.782314,-6.849922,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
251.0,-10.407515,-7.097953,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
251.5,-10.611343,-7.151346,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
252.0,-11.205742,-6.4449434,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
252.5,-11.682382,-6.5151744,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
253.0,-10.984279,-7.0285625,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
253.5,-10.959149,-7.738782,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
254.0,-10.805891,-8.190865,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
254.5,-10.82802,-8.040107,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
255.0,-10.992879,-7.8424773,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
255.5,-11.203114,-7.579816,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
256.0,-10.959734,-7.335044,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
256.5,-11.025214,-7.120959,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
257.0,-11.057538,-7.3010335,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
257.5,-11.134593,-7.4865913,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
258.0,-11.435459,-7.8088317,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
258.5,-10.442365,-7.8359213,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
259.0,-11.686797,-7.3388987,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
259.5,-11.435545,-6.6523123,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
260.0,-11.337308,-7.421839,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
260.5,-11.317795,-6.467519,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
261.0,-10.91407,-6.098572,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
261.5,-11.561414,-6.1857057,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
262.0,-11.237201,-7.1433325,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
262.5,-10.957658,-8.203827,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
263.0,-11.031879,-7.6486764,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
263.5,-11.079173,-6.61616,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
264.0,-11.057241,-7.333414,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
264.5,-10.868927,-7.767574,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
265.0,-11.18842,-8.182671,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
265.5,-11.6452055,-7.751869,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
266.0,-11.1837,-8.217998,1,1,3,3,3,1,1,1,0,-2,-1,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy,glassy
